,Time_Code,Frame_Number,Lattitude,Longtitude,Altitude,Distance,Speed
0,37:30.8,2,9.365171,80.089042,200.041,0,
1,37:30.8,3,9.36517,80.089041,200.032,0.000156209,7.021585175
2,37:30.9,4,9.36517,80.089041,200.032,0.000156209,7.482275352
3,37:30.9,5,9.36517,80.089041,200.032,0.000156209,5.517535216
4,37:30.9,6,9.36517,80.08904,200.049,0.000245992,4.035736598
5,37:31.0,7,9.36517,80.08904,200.049,0.000245992,5.865535216
6,37:31.0,8,9.36517,80.08904,200.049,0.000245992,3.025692146
7,37:31.0,9,9.365169,80.08904,200.04,0.000312418,2.985848632
8,37:31.1,11,9.365169,80.08904,200.04,0.000312418,3.125647743
9,37:31.1,12,9.365169,80.08904,200.054,0.000312418,4.235457481
10,37:31.2,13,9.365169,80.08904,200.054,0.000312418,5.326477111
11,37:31.2,14,9.365169,80.08904,200.054,0.000312418,6.234941
12,37:31.2,15,9.365168,80.089039,200.043,0.000468627,7.021585321
13,37:31.3,16,9.365168,80.089039,200.043,0.000468627,0
14,37:31.3,17,9.365168,80.089039,200.043,0.000468627,0
15,37:31.3,18,9.365168,80.089039,200.06,0.000468627,0
16,37:31.4,19,9.365168,80.089039,200.06,0.000468627,0
17,37:31.4,21,9.365167,80.089039,200.049,0.000553318,3.806886116
18,37:31.5,22,9.365167,80.089039,200.049,0.000553318,0
19,37:31.5,23,9.365167,80.089039,200.049,0.000553318,0
20,37:31.5,24,9.365167,80.089039,200.063,0.000553318,0
21,37:31.6,25,9.365167,80.089039,200.063,0.000553318,0
22,37:31.6,26,9.365167,80.089039,200.063,0.000553318,0
23,37:31.6,27,9.365166,80.089039,200.052,0.000646096,4.170351599
24,37:31.7,28,9.365166,80.089039,200.052,0.000646096,0
25,37:31.7,29,9.365166,80.089039,200.052,0.000646096,0
26,37:31.8,31,9.365166,80.08904,200.067,0.000597708,-2.175014891
27,37:31.8,32,9.365166,80.08904,200.067,0.000597708,0
28,37:31.8,33,9.365165,80.08904,200.054,0.000702327,4.702587956
29,37:31.9,34,9.365165,80.08904,200.054,0.000702327,0
30,37:31.9,35,9.365165,80.08904,200.054,0.000702327,0
31,37:31.9,36,9.365164,80.08904,200.069,0.000808702,4.78156418
32,37:32.0,37,9.365164,80.08904,200.069,0.000808702,0
33,37:32.0,38,9.365164,80.08904,200.069,0.000808702,0
34,37:32.0,39,9.365163,80.089041,200.055,0.0008963,3.937507196
35,37:32.1,41,9.365163,80.089041,200.055,0.0008963,0
36,37:32.1,42,9.365162,80.089042,200.072,0.001000754,4.695240286
37,37:32.2,43,9.365162,80.089042,200.072,0.001000754,0
38,37:32.2,44,9.365162,80.089042,200.072,0.001000754,0
39,37:32.2,45,9.365161,80.089043,200.059,0.001117349,5.240912088
40,37:32.3,46,9.365161,80.089043,200.059,0.001117349,0
41,37:32.3,47,9.365161,80.089043,200.059,0.001117349,0
42,37:32.3,48,9.36516,80.089045,200.075,0.001266655,6.71129632
43,37:32.4,49,9.36516,80.089045,200.075,0.001266655,0
44,37:32.4,51,9.365158,80.089046,200.06,0.001510682,10.96901002
45,37:32.5,52,9.365158,80.089046,200.06,0.001510682,0
46,37:32.5,53,9.365158,80.089046,200.06,0.001510682,0
47,37:32.5,54,9.365157,80.089048,200.076,0.001690187,8.068779374
48,37:32.6,55,9.365157,80.089048,200.076,0.001690187,0
49,37:32.6,56,9.365157,80.089048,200.076,0.001690187,0
50,37:32.6,57,9.365155,80.08905,200.064,0.001983841,13.19972352
51,37:32.7,58,9.365155,80.08905,200.064,0.001983841,0
52,37:32.7,59,9.365155,80.08905,200.064,0.001983841,0
53,37:32.8,61,9.365153,80.089053,200.078,0.0023372,15.88345557
54,37:32.8,62,9.365153,80.089053,200.078,0.0023372,0
55,37:32.8,63,9.365151,80.089055,200.064,0.002641962,13.69904064
56,37:32.9,64,9.365151,80.089055,200.064,0.002641962,0
57,37:32.9,65,9.365151,80.089055,200.064,0.002641962,0
58,37:32.9,66,9.365148,80.089058,200.075,0.003101962,20.67699894
59,37:33.0,67,9.365148,80.089058,200.075,0.003101962,0
60,37:33.0,68,9.365148,80.089058,200.075,0.003101962,0
61,37:33.0,69,9.365146,80.089061,200.061,0.003474625,16.75117684
62,37:33.1,71,9.365146,80.089061,200.061,0.003474625,0
63,37:33.1,72,9.365143,80.089065,200.076,0.004007636,23.95881444
64,37:33.2,73,9.365143,80.089065,200.076,0.004007636,0
65,37:33.2,74,9.365143,80.089065,200.076,0.004007636,0
66,37:33.2,75,9.36514,80.089068,200.063,0.004474266,20.97499228
67,37:33.3,76,9.36514,80.089068,200.063,0.004474266,0
68,37:33.3,77,9.36514,80.089068,200.063,0.004474266,0
